Date,Copper,EUR,SP500,US10,Gold_micro,GAS_US_mini,CRUDE_W_mini,ROR
12/1/2022,3.796666667,1.059811111,4112.9375,114.5234375,1816,6.20375,81.95,-0.9283%
12/2/2022,3.840833333,1.060366667,4092.722222,114.4322917,1808.1,5.758888889,80.93888889,-0.2788%
12/5/2022,3.802555556,1.058565,4044.583333,113.9791667,1784.022222,5.046111111,78.76944444,0.1476%
12/6/2022,3.820888889,1.055694444,3981.666667,114.1267361,1783.633333,4.828333333,75.07222222,-0.1895%
12/7/2022,3.8505,1.058916667,3970.888889,114.9479167,1797.688889,5.047222222,73.34444444,-0.1974%
12/8/2022,3.883444444,1.06285,3997.694444,114.5329861,1801.622222,5.356666667,72.43888889,0.1408%
12/9/2022,3.865888889,1.061511111,3987.777778,114.1145833,1810.788889,5.651111111,72.01111111,0.2433%
12/12/2022,3.804055556,1.0606,4000.944444,113.9305556,1794.4,6.048888889,73.85,-0.1657%
12/13/2022,3.859611111,1.070527778,4061.475,114.8350694,1823.233333,6.337222222,75.78928571,-0.4236%
12/14/2022,3.865444444,1.073661111,4059.138889,114.84375,1819.9,5.840555556,77.2375,0.0512%
12/15/2022,3.780333333,1.070738889,3925.194444,114.9496528,1788.433333,6.166111111,76.105,0.0635%
12/16/2022,3.768222222,1.067661111,3871.444444,114.7447917,1800.455556,5.976111111,74.36071429,0.0441%
12/19/2022,3.767055556,1.067533333,3849.916667,114.1371528,1797.588889,5.29,75.53928571,0.0687%
12/20/2022,3.805388889,1.069311111,3853.444444,113.4756944,1826.8,4.8355,75.875,0.0514%
12/21/2022,3.813166667,1.067222222,3905.444444,113.6302083,1825.855556,4.882222222,77.99583333,0.1520%
12/22/2022,3.766722222,1.065644444,3830.666667,113.5555556,1801.7,4.596666667,77.89166667,0.1789%
12/23/2022,3.803555556,1.067877778,3858.277778,113.1267361,1805.533333,4.44,79.675,0.4088%
12/27/2022,3.861388889,1.070266667,3856.5,112.4513889,1823.577778,4.448888889,80.284375,-0.0008%
12/28/2022,3.831555556,1.06805,3825.833333,112.28125,1811.433333,4.186111111,78.375,0.2983%
,,,,,,,,
,,,,,,,,
,,,,,,,,
