DATETIME,forecast_2,forecast_4,forecast_8,forecast_16,forecast_32,forecast_64
2023-07-26 23:00:00,-0.03693536963694057,-0.24329110937081344,-0.529933000861144,-0.8122056521907727,-0.436140294633113,0.5056119056646534
2023-07-27 14:00:00,3.0084962714738563,1.1447616878205322,0.02813027644009981,-0.6182790200212608,-0.38252870492261487,0.5307232992062169
2023-07-27 15:00:00,2.405362089958101,1.4153644654214816,0.2724764323206809,-0.5132377784544174,-0.3555680675905449,0.5489827911281983
2023-07-27 16:00:00,2.1845734237735868,1.6109025051208812,0.5025325924913784,-0.3809782382289143,-0.3097115877151661,0.549889446371625
2023-07-27 17:00:00,2.214010820750694,1.832983300782827,0.7409266248081493,-0.24585867688226828,-0.26239893943762527,0.5621783869422265
2023-07-27 18:00:00,0.7616443128749607,1.3213896086052515,0.6832908190895145,-0.19346598643328633,-0.23429308784883607,0.5431218366219116
2023-07-27 19:00:00,-1.4941800897231572,0.2508153120826089,0.35088244586726225,-0.2787003820021226,-0.26514976429980824,0.5458406962055119
2023-07-27 20:00:00,-2.233356196985859,-0.5155643997545456,0.02154946218226949,-0.3701850406840612,-0.29550899839772427,0.5293155882499542
2023-07-27 21:00:00,-1.8772396482676779,-0.8013870593885148,-0.18176580254226987,-0.43268412324975153,-0.3179532862298646,0.5141444237608086
2023-07-27 23:00:00,-1.718839675428157,-1.011731948394411,-0.366656559530548,-0.5005367531534969,-0.34474408751625746,0.4997434674776499
